booking_id,passenger_id,flight_id,booking_date,status,seat_number,emergency_contact_name,passport_hash,emergency_phone_masked
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,Isaac Bakshi,59e7e7738c8711b2f49be2c355b25b9bd41b780392aa2151796e8b52aaa0a056,+91-647847XXXX
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,Anvi Konda,6a95f336b866dc4d580b61301c1a96016a5ec24e056b4062fcb7eb48c0e14578,+91-664707XXXX
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,Udant Dewan,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,+91-840593XXXX
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,Harsh Chahal,19c4a665e8bc1266b54aee9a9925f0d4179044fbc7be190242d1b89272a91bff,+91-626463XXXX
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,25C,Pahal Balay,d9157c803314e083e13c0307a6e506c2beaa8c6e96140c318f3a5626acdbf658,+91-933647XXXX
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,Ayushman Chander,caabc2281b0da4c39b0a3b311e88f27b268a54a206f841d415910424688d7c97,+91-755839XXXX
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,Tejas Kaul,819d0525b412722fb313faf87f81a43b74df29a993116bd79095a97e202b44a5,+91-994504XXXX
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,Yashasvi Bala,481f342177d3cec469338517a9902c34973ae3e01e73170d054a2a22e8fed7a7,+91-860350XXXX
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,34F,Rushil Saini,8c98a8c9d9ef366ea590a63c5fda7f9b38e3d7fd7cc2e1a664b318ac10d81116,+91-896563XXXX
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,Thomas Sen,16d60fe92f5a58498240b07d1f06756c4004ccb8ac1a35e2805525d1a10f4bd5,+91-987768XXXX
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,Arunima Ahuja,9b8bc958eb99de8fb7b16058960d026a06b3e7d596f3a18533a6dc3e4ff6331d,+91-759858XXXX
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,Nathaniel Sami,2c38e171d27dcd125c6913f4d1c146a8da98219f63f72633e64e7bc3f19ef100,+91-636037XXXX
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,28B,Harini Mall,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,+91-960806XXXX
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,Nachiket Kale,fab85083e9f77799da2810373757ab2bcaba789e60580d046078a73a50453c99,+91-753520XXXX
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,21E,Gayathri Chaudry,ce79ecb116713ff5346d04d528e0b69c111ddb29f89f71c7489847f9def6277f,+91-918898XXXX
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,6F,George Rai,e80647128945b84453cc832b9d012cca149f24816051350fa337a4774bb9f73b,+91-715514XXXX
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,Gunbir Parmer,45ac44b766f544618147856de9f9ccef98e3e4a1cba38f6935f57ff86e03e8ea,+91-743261XXXX
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,Hemangini Lalla,f27605d14d86e057ee7d1bb667412de210b87865cc6b2b19d6cf9c9030fc6f52,+91-998496XXXX
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,Caleb Sharaf,f08afc002842ef6c16197f0905029ce91549bdec0d015e96e30190fc31969a97,+91-659643XXXX
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,Jeet Radhakrishnan,451e03d407510f4369ae3ce78672045ebc6e9a3a6fdee26b568e98bb183b3930,+91-946363XXXX
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,Farhan Memon,548bb24f886551bdb139f2dd77f8d6f472d18d3fd99a207204fc30e6ad2c5a90,+91-881538XXXX
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,Janaki Handa,a81b91b550af858b5813b47037200dedd33d200c4448b11e296e408de35de8df,+91-625857XXXX
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,Ekaraj Bath,d10b00994471367e9ef55092ad4fdad4c157e38636d7981e73d0271f0f4b9562,+91-956743XXXX
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,24B,Vedant Mann,baf43ee0438d2412221049ea57b7cc8ae12e72fb43e4330b1dac75ca683c41b0,+91-930560XXXX
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,30F,Fariq Kaul,93992d112475cbf9a55b714ec62eeec9e22502e58494767bc38df2389738e843,+91-994151XXXX
