passenger_key,passenger_id,first_name,last_name,age,gender,date_of_birth,aadhaar_hash,email_hash,phone_masked
1,P1007,Sara,Joshi,75,M,1951-11-24,13a51896795a68872c530ba9328d2a05de81c12824abd57c62fbad2a026acc33,101ada030e5a677fcdbfa4a3a8e4b9cdd1e177ece26da937f90efe3628286a6b,+91-626411XXXX
2,P1015,Aadhya,Verma,88,F,1938-05-26,d70bbd933fb62ae559b38998053c0fef4e5ea8498d7056cec5906af99cad0a16,9b4fc6db9b06c6074f9091ee0436a8cef92fdc5fa9c628b2c00be5c4f12002e4,+91-620014XXXX
3,P1999,AnanyaPillai,Unknown,14,F,2012-11-28,5b05e52f36c37dc187a48bed498a31cb871dc86a61677bab61d4eaf6a34ed534,911fbbb5e71c11481450920ad2972c1e3e746085f78cc7983bf8c7f65d625577,+91-759746XXXX
4,P1000,Vivaan,Chatterjee,52,F,1974-04-08,99466baa9b8fe69a6f31db34c87d50f0e9a488eda788f3fdce1c00e09a316285,86ebf4745fa93e45ba826eff0d227a18f8c65329d6a9ac88008d402bb58eaedd,+91-689623XXXX
5,P1001,Krishna,Reddy,15,M,2011-03-07,6d05ccbeb5011dd59948b882fff86e1a6f7fc0cf41f6598b385f58558830ac18,17744128240944e417f265a838038b2ee3f6573e74d15d7e6e6f06b760e8052d,+91-670263XXXX
6,P1002,Myra,Naidu,72,M,1954-09-10,3e24ac79e2c956797c22051676644d26204cc4de0f203e1bf3aec0d9ea8e0d3f,884533acfd5cfbe6787f3d61f07ed253a19430b8d412be406df81e6264f34501,+91-619958XXXX
7,P1003,Myra,Mishra,61,F,1965-03-12,4e880723014ee24b39f0213150496f3efb9faa3f62d335c2248452b7c6ddc7e6,844b61f750119ea14552675bc6a98c16274d32fa6d9f4949607d8190fd7b2836,+91-871992XXXX
8,P1004,Saanvi,Banerjee,21,M,2005-11-11,3ca09c31f18da71ad2bc39cb3cbb387c38a9cd5ad37239eb8ca5ac19c8c18ac1,3d941c6227ef310fc68146f452ce49dd5c5539e326eacb7c4bccf13675fcd814,+91-781959XXXX
9,P1030,Aditya,Kulkarni,60,F,1966-10-28,68c1f6cd2204ee3a45e5f076d30fa697484a95079336d01918ddaad95090db93,4562669bc08a1c3a6fcae61038080caa42b0bcdc1ab57aafd3311401d6335db8,+91-865346XXXX
10,P1029,Diya,Ghosh,42,F,1984-12-06,ae8add5e2b5a7da66a875e0ffaf446030ac992bfb0f6071296f9059ff7df9415,ae0bfed09d05747826f866903fa8b9784cc2f8e2ceeb8682f7cf4037fc8cfa6c,+91-642628XXXX
